RIAL,RIAR,RIBR,RIM,RIBL,sensory,,,,,,velocity,speed,odor,upp_cam_index,RIAL_x,RIAL_y,RIAR_x,RIAR_y,RIBR_x,RIBR_y,RIM_x,RIM_y,RIBL_x,RIBL_y,sensory_x,sensory_y,Speed_3,Speed_5,Speed_10,Curvature,Speed_all_points,Acceleration_all_parts_3
0.846076667308807,0,1.03777158260345,0.951542317867279,1.04723632335663,1.04515755176544,6.30E-01,7.69E-01,8.67E-01,9.07E-01,8.33E-01,-0.801755877628607,3.17695498888597,0,86,505,389,0,0,407,506,391,460,385,446,410,463,4.1,13.3,4.62,1.65,4.3,10.3
0.830711901187897,0,1.04656887054443,0.950115501880646,1.04993975162506,1.05232465267181,6.48E-01,7.70E-01,8.73E-01,9.01E-01,8.42E-01,-16.6430131982287,17.2987028142249,0,88,501,447,0,0,399,555,384,517,375,521,401,515,4.38,6.19,9.24,0.85,31.3,9.28
0.815786957740784,0.937329709529877,1.03978681564331,0.959514498710632,1.06719839572907,1.02020168304443,6.50E-01,7.89E-01,8.56E-01,8.89E-01,8.21E-01,2.79603700651662,2.92442361128192,0,90,500,472,465,463,399,583,385,546,374,543,404,541,8.37,5.19,11.8,0.7,1.46,6.92
0.834767639636993,0.957854390144348,1.05595481395721,0.937510251998901,1.04544413089752,1.02954578399658,6.30E-01,7.76E-01,8.71E-01,9.07E-01,8.62E-01,-0.089105571499844,1.05777987702833,0,92,525,465,481,453,423,578,409,542,401,541,425,541,4.12,1.84,15,0.789,1.43,5.8
0.816030025482178,0.913369715213776,1.06583201885223,0.948407113552094,1.0484139919281,1.04101204872131,6.41E-01,7.70E-01,8.69E-01,8.87E-01,8.58E-01,3.13520861862687,3.67822686160845,0,94,570,450,523,448,489,569,462,535,442,535,475,535,2.7,6.89,21.9,0.209,3,3.05
0.843333840370178,0.944948196411133,1.03125905990601,0.946869373321533,1.04911553859711,1.02547168731689,6.32E-01,7.45E-01,8.71E-01,8.96E-01,8.21E-01,-8.94777659813358,12.787058218836,0,96,617,449,571,448,541,577,517,543,506,544,538,537,7.31,5,23.7,0.18,28.2,4.2
0.824346899986267,0.913560032844543,1.04202365875244,0.948039829730988,1.04652202129364,1.0305118560791,6.59E-01,7.62E-01,8.65E-01,8.73E-01,7.90E-01,12.3568191558429,12.7998564668774,0,99,635,458,589,458,567,592,538,556,521,556,559,552,9.75,7.06,26.9,0.713,3.33,37.8
0.820344090461731,0.912195146083832,1.04927527904511,0.944391071796417,1.03064501285553,1.00854587554932,6.43E-01,7.55E-01,8.65E-01,8.96E-01,8.11E-01,-62.9915181484362,66.1283200659324,0,101,645,480,606,485,577,613,549,580,538,585,568,573,11.8,15.6,32,-1.13,43,43.1
0.817828297615051,0.940107643604279,1.06228244304657,0.972501277923584,1.03588855266571,1.05468845367432,6.74E-01,7.66E-01,8.56E-01,8.94E-01,8.00E-01,42.6769710709581,48.1226183823591,0,103,648,488,601,490,583,624,555,590,544,594,574,586,18.6,2.39,36.4,-0.733,49.8,479
0.842495679855347,0.944162428379059,1.05976903438568,0.935009717941284,1.03919553756714,1.06191337108612,6.58E-01,7.68E-01,8.87E-01,9.03E-01,7.82E-01,36.3270326094784,37.3271156040901,0,105,646,499,623,506,604,638,568,607,524,615,601,596,93.1,53.7,6.4,-1.47,352,454
0.833858013153076,0.911989808082581,1.0402455329895,0.963046133518219,1.01950895786285,0.992197513580322,6.56E-01,7.73E-01,8.59E-01,8.92E-01,8.11E-01,651.945073231196,683.937949303332,0,107,616,507,587,521,573,650,541,621,526,628,569,605,77.7,95.4,57.7,-1.28,394,529
0.840987026691437,0.875862061977387,1.06157743930817,0.933970332145691,1.0075079202652,1.0286271572113,6.46E-01,7.49E-01,8.69E-01,8.95E-01,8.42E-01,-322.445871142142,453.205577680864,0,109,629,504,590,516,585,648,555,622,546,629,576,608,158,27.9,60.7,-1.09,248,146
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-50.860590225075,206.929067811654,0,111,0,0,0,0,0,0,0,0,0,0,0,0,137,118,151,-0.902,404,123
0.818479537963867,0.889370918273926,1.06294655799866,0.934610247612,1.01950204372406,1.01282823085785,6.04E-01,7.24E-01,8.60E-01,8.96E-01,8.28E-01,384.276401600552,490.67878130295,0,113,485,388,446,405,453,538,419,512,408,520,443,497,153,66.5,182,-0.714,285,579
0.802345871925354,0,1.05015158653259,0.929478108882904,1.03626036643982,1.10263466835022,6.00E-01,7.01E-01,8.56E-01,8.90E-01,8.15E-01,17.7678147495101,516.99890872496,0,115,478,374,0,0,448,520,413,498,409,508,436,476,227,71.4,166,-0.526,393,624
0.814889192581177,0.918976545333862,1.04606688022614,0.935044348239899,1.0299266576767,1.04302358627319,6.05E-01,7.18E-01,8.54E-01,9.02E-01,7.86E-01,17.0912019393341,281.271973208298,0,117,478,337,436,355,456,489,420,465,413,472,437,451,51.4,22.6,209,-0.337,656,349
0.804711103439331,0.886653244495392,1.06572473049164,0.935204029083252,1.04574680328369,1.01116538047791,6.17E-01,6.98E-01,8.32E-01,8.76E-01,8.03E-01,-264.048026827266,331.316840262423,0,120,445,321,413,345,435,468,400,451,394,463,415,434,233,114,262,-0.149,254,757
0.798432767391205,0.513161718845367,1.04922580718994,0.932181835174561,1.02421867847443,0.986291289329529,6.11E-01,7.16E-01,8.29E-01,9.08E-01,7.99E-01,-167.839269109273,341.431485834991,0,122,406,303,384,357,410,458,369,440,362,449,384,426,102,238,168,0.0388,354,585
0.802866458892822,0,1.05127561092377,0.922811031341553,1.01123631000519,1.13854086399078,5.85E-01,6.91E-01,8.50E-01,8.73E-01,7.96E-01,466.730059152535,818.291421132366,0,124,386,298,0,0,392,449,353,434,352,446,368,412,32.5,217,20.6,-0.388,602,561
0.797603309154511,0.932016253471375,1.06127870082855,0.926506161689758,1.00507187843323,1.04910600185394,5.70E-01,6.98E-01,8.47E-01,8.93E-01,7.89E-01,23.1828735972258,24.1997966470236,0,126,364,295,335,321,377,446,338,433,332,443,351,416,86.3,166,40,-0.636,14.3,380
0.803150594234467,0,1.04365170001984,0.94867742061615,1.00641107559204,1.12778699398041,5.92E-01,6.91E-01,8.45E-01,8.70E-01,8.05E-01,2.71651830151044,14.5539890039041,0,128,348,291,0,0,361,444,325,428,323,441,337,402,131,89.9,142,-0.656,9.97,412
0.800254225730896,0.838250279426575,1.06683433055878,0.93163400888443,1.02715861797333,0.997514545917511,5.53E-01,6.86E-01,8.47E-01,8.80E-01,7.68E-01,2.48149033070012,4.25423605794461,0,130,330,294,300,322,350,443,311,432,308,441,321,407,2.44,123,365,-0.582,2.22,1.76
0.809305131435394,0,1.04808735847473,0.924888014793396,1.02839601039886,1.01468765735626,5.63E-01,6.77E-01,8.44E-01,8.69E-01,7.84E-01,-7.67642604436585,10.4493821828692,0,132,320,291,0,0,338,440,301,429,301,441,312,410,1.88,176,345,-0.597,4.49,10.7
0.803088843822479,0.902871608734131,1.04029786586761,0.923898816108704,1.02268600463867,1.02191007137299,5.54E-01,6.70E-01,8.33E-01,9.02E-01,7.57E-01,-11.2101107021729,11.419121058657,0,134,318,290,293,318,335,439,297,428,297,440,308,409,1.21,104,442,-0.571,5.84,10.7
0.789987206459045,0,1.04697358608246,0.925906240940094,1.03191244602203,1.00424134731293,5.60E-01,6.67E-01,8.36E-01,8.88E-01,7.67E-01,-9.61207407080969,11.6016803479537,0,136,314,291,0,0,332,441,295,430,295,440,305,413,2.09,3.7,570,-0.655,2.21,3.18
0.804863274097443,0.921534419059753,1.0405445098877,0.93881744146347,1.02907931804657,1.01490759849548,5.53E-01,6.78E-01,8.45E-01,9.06E-01,7.99E-01,-10.7484005517503,11.2850081484811,0,139,311,287,292,313,329,436,293,426,294,437,304,407,0.627,4.17,429,-0.503,3.76,4.04
0.798885881900787,0,1.06271123886108,0.928202867507935,1.0666286945343,0.99724555015564,5.49E-01,6.57E-01,8.29E-01,8.64E-01,7.99E-01,-1.57923788359618,2.58753967033691,0,141,315,291,0,0,333,438,296,428,299,440,305,413,1.96,3.79,286,-0.406,0.611,5.03
0.798197567462921,0.834733903408051,1.0471476316452,0.942790508270264,1.04195868968964,1.28216469287872,5.48E-01,6.65E-01,8.36E-01,9.16E-01,8.14E-01,20.8760068443684,22.8410411415336,0,143,313,286,292,314,333,435,295,424,296,435,307,398,5.08,2.26,189,-0.554,12.7,15.5
0.786180734634399,0,1.04875802993774,0.934687912464142,1.02494788169861,1.0081387758255,5.26E-01,6.65E-01,8.29E-01,8.73E-01,7.92E-01,10.9662958334113,11.0349786354106,0,145,311,280,0,0,326,429,290,421,292,431,301,396,1.88,1.62,144,-0.454,4.29,3.39
0.802621722221375,0.886752128601074,1.04731297492981,0.960144877433777,1.01501178741455,1.01646506786346,5.46E-01,6.68E-01,8.30E-01,8.59E-01,7.51E-01,-3.31007347136603,3.84072990182071,0,147,303,279,278,310,322,428,289,416,289,429,300,393,2.65,1.87,207,-0.507,1.61,8.07
0.802853167057037,0,1.05821001529694,0.922388911247253,1.03290784358978,1.12137484550476,5.36E-01,6.60E-01,8.24E-01,8.56E-01,8.04E-01,6.69989440930856,6.7502544572857,0,149,302,276,0,0,322,425,285,415,286,427,295,395,0.523,2.32,232,-0.53,5.04,8.21
0.792627692222595,0,1.04559075832367,0.963237345218658,1.03490483760834,0.988619804382324,5.41E-01,6.69E-01,8.37E-01,8.74E-01,7.78E-01,10.015096746751,13.4944381181149,0,151,321,267,0,0,331,419,300,406,307,416,305,381,0.779,1.38,211,-0.548,7.71,0.587
0.775572717189789,0,1.04196584224701,0.949218332767487,1.04143643379211,1.00338685512543,5.42E-01,6.69E-01,8.44E-01,8.54E-01,7.91E-01,4.94692590281227,5.3663519315951,0,153,328,259,0,0,341,411,305,400,307,412,317,382,0.726,0.467,389,-0.52,1.84,1.21
0.790929079055786,0.895916342735291,1.04319489002228,0.949363589286804,1.02842915058136,0.99637770652771,5.22E-01,6.53E-01,8.32E-01,8.65E-01,7.80E-01,27.9933972481525,29.890699354286,0,155,314,253,288,283,335,405,298,393,300,401,314,369,2.68,2.25,391,-0.472,16.9,1.79
0.788067936897278,0,1.05585551261902,0.945763647556305,1.02774393558502,1.13784790039063,5.30E-01,6.43E-01,8.21E-01,8.49E-01,7.95E-01,-7.73229968886402,11.9851594436031,0,158,313,244,0,0,334,393,298,384,299,394,309,356,4.25,4.21,288,-0.506,4.19,29.6
0.788979887962341,0.945887446403503,1.05958044528961,0.938293218612671,1.02057385444641,1.42411065101624,5.19E-01,6.30E-01,8.33E-01,8.68E-01,7.79E-01,12.1219656872156,16.8444250572459,0,160,316,231,299,253,338,381,301,371,303,379,312,342,2.1,2.32,205,-0.556,6.32,1.15
0.786138892173767,0.903395771980286,1.04734063148499,0.90773993730545,1.0220217704773,1.36640501022339,5.18E-01,6.19E-01,8.20E-01,8.48E-01,7.72E-01,0.867873184717397,0.924344255332016,0,162,320,222,298,250,337,372,301,363,303,376,311,339,2.48,1.94,195,-0.452,2.45,8.45
0.777081608772278,0.920494675636292,1.05886161327362,0.937007665634155,1.02656102180481,1.03555071353912,5.07E-01,6.34E-01,8.34E-01,8.73E-01,7.67E-01,9.32798121706468,9.45157172832245,0,164,325,185,301,207,340,341,304,329,308,335,315,306,3.93,3.65,122,-0.561,8.93,4.16
0.772675752639771,0,1.05168581008911,0.937009334564209,1.02312326431274,1.06719779968262,4.99E-01,6.15E-01,8.23E-01,8.47E-01,7.69E-01,0.500388203849128,1.19444421323309,0,166,319,167,0,0,338,315,302,307,307,318,311,285,2.39,3.31,56.4,-0.358,0.669,4.28
0.792737245559692,0.922626793384552,1.04324090480804,0.963277101516724,1.02006793022156,1.20420217514038,5.24E-01,6.27E-01,8.38E-01,8.68E-01,7.82E-01,-1.30671319121181,1.32212403672474,0,168,318,198,296,219,337,353,301,340,306,346,308,316,0.16,3.63,21.4,-0.376,2.26,0.594
0.746562063694,0.875354111194611,1.06036949157715,0.930253744125366,1.01591873168945,1.00716841220856,4.88E-01,6.15E-01,8.41E-01,8.52E-01,7.41E-01,0.866640318845975,1.15606738194518,0,170,372,153,357,166,393,308,348,294,334,311,366,272,1.34,6.28,26.5,-0.26,2.87,1.71
0.76635479927063,0.945054948329926,1.0425169467926,0.929885983467102,1.02247357368469,1.02971839904785,4.71E-01,6.37E-01,8.26E-01,8.59E-01,7.65E-01,17.819974948942,18.0798786713234,0,172,405,137,378,152,407,292,373,275,374,278,387,254,7.92,6.95,19,-0.28,15.8,3.61
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.034922064709428,0.289056731390515,0,174,0,0,0,0,0,0,0,0,0,0,0,0,7.27,8.58,20.3,-0.268,1.48,5.28
0.783139526844025,0.952332139015198,1.05951499938965,0.960378289222717,1.02365922927856,1.01657676696777,4.84E-01,6.55E-01,8.34E-01,8.56E-01,7.68E-01,13.8495690407662,14.2434444747129,0,177,452,259,427,269,443,420,410,398,413,397,421,384,1.35,9.6,30.8,-0.339,8.32,3.36
