RIAL,RIAR,RIBL,RIM,RIBR,sensory,,,,,,,,velocity,speed,odor,upp_cam_index,RIAL_x,RIAL_y,RIAR_x,RIAR_y,RIBL_x,RIBL_y,RIM_x,RIM_y,RIBR_x,RIBR_y,Speed_3,Speed_5,Speed_10
0,0,0,0,0,0,0,0,0,0,0,0,0,7.58832519711995,75.1602972953683,0,240,0,0,0,0,0,0,0,0,0,0,54.7,242,160
0,0,0,0,0,0,0,0,0,0,0,0,0,-10.152479124307,68.3691780825224,0,242,0,0,0,0,0,0,0,0,0,0,27.9,86.7,131
0,0,0,0,0,0,0,0,0,0,0,0,0,-10.2583344800589,109.718432840513,0,244,0,0,0,0,0,0,0,0,0,0,21.9,90.4,108
0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69188652567832,11.4941584400302,0,246,0,0,0,0,0,0,0,0,0,0,14.4,80,210
0,0,0,0,0,0,0,0,0,0,0,0,0,3.40994335562067,15.6306948673931,0,248,0,0,0,0,0,0,0,0,0,0,10.8,42.8,292
0,0,0,0,0,0,0,0,0,0,0,0,0,6.53062106130407,112.192332592966,0,251,0,0,0,0,0,0,0,0,0,0,6.45,9.44,457
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55860978663086,16.5159939309358,0,253,0,0,0,0,0,0,0,0,0,0,4.18,20.5,592
0,0,0,0,0,0,0,0,0,0,0,0,0,0.211477288688316,8.91948042755597,0,255,0,0,0,0,0,0,0,0,0,0,11.5,4.37,758
0,0,0,0,0,0,0,0,0,0,0,0,0,-5.23776433007031,40.6196616134316,0,257,0,0,0,0,0,0,0,0,0,0,5.73,8.43,835
0,0,0,0,0,0,0,0,0,0,0,0,0,-1.66121468553577,30.0519024752845,0,259,0,0,0,0,0,0,0,0,0,0,6.13,18.2,813
0,0,0,0,0,0,0,0,0,0,0,0,0,4.48774937698537,17.1430083178495,0,261,0,0,0,0,0,0,0,0,0,0,4.86,9.2,947
0,0,0,0,0,0,0,0,0,0,0,0,0,-19.8164868497093,82.1849894699543,0,263,0,0,0,0,0,0,0,0,0,0,29,11.5,858
0,0,0,0,0,0,0,0,0,0,0,0,0,-19.0498013490559,66.4449854697033,0,265,0,0,0,0,0,0,0,0,0,0,17.2,8.1,731
0,0,0,0,0,0,0,0,0,0,0,0,0,-24.5720905018923,86.0555818982993,0,267,0,0,0,0,0,0,0,0,0,0,25,64.9,734
0,0,0,0,0,0,0,0,0,0,0,0,0,-7.56144466921715,36.7157830871762,0,269,0,0,0,0,0,0,0,0,0,0,22,34,594
0,0,0,0,0,0,0,0,0,0,0,0,0,-26.4196386313937,133.975985820489,0,272,0,0,0,0,0,0,0,0,0,0,20,22.2,450
0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67281960622014,44.5372050895737,0,274,0,0,0,0,0,0,0,0,0,0,35.8,46,303
0,0,0,0,0,0,0,0,0,0,0,0,0,27.5889165020864,99.2400329401057,0,276,0,0,0,0,0,0,0,0,0,0,33.4,10.4,350
